A100,Anaheim,Orange County,CA,California,City,33.83529,-117.9145,2024-12-15 09:59:33,2024-12-15 09:59:33
A101,Antioch,Contra Costa County,CA,California,City,38.00492,-121.80579,2024-12-15 09:59:33,2024-12-15 09:59:33
A102,Bakersfield,Kern County,CA,California,City,35.37329,-119.01871,2024-12-15 09:59:33,2024-12-15 09:59:33
A103,Berkeley,Alameda County,CA,California,City,37.87159,-122.27275,2024-12-15 09:59:33,2024-12-15 09:59:33
A104,Burbank,Los Angeles County,CA,California,City,34.18084,-118.30897,2024-12-15 09:59:33,2024-12-15 09:59:33
A105,Carlsbad,San Diego County,CA,California,City,33.15809,-117.35059,2024-12-15 09:59:33,2024-12-15 09:59:33
A106,Chula Vista,San Diego County,CA,California,City,32.64,-117.08417,2024-12-15 09:59:33,2024-12-15 09:59:33
A107,Clovis,Fresno County,CA,California,City,36.82523,-119.70292,2024-12-15 09:59:33,2024-12-15 09:59:33
A108,Concord,Contra Costa County,CA,California,City,37.97798,-122.03107,2024-12-15 09:59:33,2024-12-15 09:59:33
A109,Corona,Riverside County,CA,California,City,33.87529,-117.56644,2024-12-15 09:59:33,2024-12-15 09:59:33
A110,Costa Mesa,Orange County,CA,California,City,33.64113,-117.91867,2024-12-15 09:59:33,2024-12-15 09:59:33
A111,Daly City,San Mateo County,CA,California,City,37.70583,-122.46194,2024-12-15 09:59:33,2024-12-15 09:59:33
A112,Downey,Los Angeles County,CA,California,City,33.94001,-118.13257,2024-12-15 09:59:33,2024-12-15 09:59:33
A113,East Los Angeles,Los Angeles County,CA,California,CDP,34.0239,-118.17202,2024-12-15 09:59:33,2024-12-15 09:59:33
A114,El Cajon,San Diego County,CA,California,City,32.79477,-116.96253,2024-12-15 09:59:33,2024-12-15 09:59:33
A115,Elk Grove,Sacramento County,CA,California,City,38.4088,-121.37162,2024-12-15 09:59:33,2024-12-15 09:59:33
A116,El Monte,Los Angeles County,CA,California,City,34.06862,-118.02757,2024-12-15 09:59:33,2024-12-15 09:59:33
A117,Escondido,San Diego County,CA,California,City,33.11921,-117.08642,2024-12-15 09:59:33,2024-12-15 09:59:33
A118,Fairfield,Solano County,CA,California,City,38.24936,-122.03997,2024-12-15 09:59:33,2024-12-15 09:59:33
A119,Fontana,San Bernardino County,CA,California,City,34.09223,-117.43505,2024-12-15 09:59:33,2024-12-15 09:59:33
A120,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,2024-12-15 09:59:33,2024-12-15 09:59:33
A121,Fresno,Fresno County,CA,California,City,36.74773,-119.77237,2024-12-15 09:59:33,2024-12-15 09:59:33
A122,Fullerton,Orange County,CA,California,City,33.87029,-117.92534,2024-12-15 09:59:33,2024-12-15 09:59:33
A123,Garden Grove,Orange County,CA,California,City,33.77391,-117.94145,2024-12-15 09:59:33,2024-12-15 09:59:33
A124,Glendale,Los Angeles County,CA,California,City,34.14251,-118.25508,2024-12-15 09:59:33,2024-12-15 09:59:33
A125,Hayward,Alameda County,CA,California,City,37.66882,-122.0808,2024-12-15 09:59:33,2024-12-15 09:59:33
A126,Huntington Beach,Orange County,CA,California,City,33.6603,-117.99923,2024-12-15 09:59:33,2024-12-15 09:59:33
A127,Inglewood,Los Angeles County,CA,California,City,33.96168,-118.35313,2024-12-15 09:59:33,2024-12-15 09:59:33
A128,Irvine,Orange County,CA,California,City,33.66946,-117.82311,2024-12-15 09:59:33,2024-12-15 09:59:33
A129,Jurupa Valley,Riverside County,CA,California,City,34.00259,-117.46761,2024-12-15 09:59:33,2024-12-15 09:59:33
A130,Lancaster,Los Angeles County,CA,California,City,34.69804,-118.13674,2024-12-15 09:59:33,2024-12-15 09:59:33
A131,Long Beach,Los Angeles County,CA,California,City,33.76696,-118.18923,2024-12-15 09:59:33,2024-12-15 09:59:33
A132,Los Angeles,Los Angeles County,CA,California,City,34.05223,-118.24368,2024-12-15 09:59:33,2024-12-15 09:59:33
A133,Modesto,Stanislaus County,CA,California,City,37.6391,-120.99688,2024-12-15 09:59:33,2024-12-15 09:59:33
A134,Moreno Valley,Riverside County,CA,California,City,33.93752,-117.23059,2024-12-15 09:59:33,2024-12-15 09:59:33
A135,Murrieta,Riverside County,CA,California,City,33.55391,-117.21392,2024-12-15 09:59:33,2024-12-15 09:59:33
A136,Norwalk,Los Angeles County,CA,California,City,33.90224,-118.08173,2024-12-15 09:59:33,2024-12-15 09:59:33
A137,Oakland,Alameda County,CA,California,City,37.80437,-122.2708,2024-12-15 09:59:33,2024-12-15 09:59:33
A138,Oceanside,San Diego County,CA,California,City,33.19587,-117.37948,2024-12-15 09:59:33,2024-12-15 09:59:33
A139,Ontario,San Bernardino County,CA,California,City,34.06334,-117.65089,2024-12-15 09:59:33,2024-12-15 09:59:33
A140,Orange,Orange County,CA,California,City,33.78779,-117.85311,2024-12-15 09:59:33,2024-12-15 09:59:33
A141,Oxnard,Ventura County,CA,California,City,34.1975,-119.17705,2024-12-15 09:59:33,2024-12-15 09:59:33
A142,Palmdale,Los Angeles County,CA,California,City,34.57943,-118.11646,2024-12-15 09:59:33,2024-12-15 09:59:33
A143,Pasadena,Los Angeles County,CA,California,City,34.14778,-118.14452,2024-12-15 09:59:33,2024-12-15 09:59:33
A144,Pomona,Los Angeles County,CA,California,City,34.05529,-117.75228,2024-12-15 09:59:33,2024-12-15 09:59:33
A145,Rancho Cucamonga,San Bernardino County,CA,California,City,34.1064,-117.59311,2024-12-15 09:59:33,2024-12-15 09:59:33
A146,Rialto,San Bernardino County,CA,California,City,34.1064,-117.37032,2024-12-15 09:59:33,2024-12-15 09:59:33
A147,Richmond,Contra Costa County,CA,California,City,37.93576,-122.34775,2024-12-15 09:59:33,2024-12-15 09:59:33
A148,Riverside,Riverside County,CA,California,City,33.95333,-117.39611,2024-12-15 09:59:33,2024-12-15 09:59:33
A149,Roseville,Placer County,CA,California,City,38.75212,-121.28801,2024-12-15 09:59:33,2024-12-15 09:59:33
A150,Sacramento,Sacramento County,CA,California,City,38.58157,-121.4944,2024-12-15 09:59:33,2024-12-15 09:59:33
A151,Salinas,Monterey County,CA,California,City,36.67774,-121.6555,2024-12-15 09:59:33,2024-12-15 09:59:33
A152,San Bernardino,San Bernardino County,CA,California,City,34.10834,-117.28977,2024-12-15 09:59:33,2024-12-15 09:59:33
A153,San Buenaventura (Ventura),Ventura County,CA,California,City,34.26778,-119.25421,2024-12-15 09:59:33,2024-12-15 09:59:33
A154,San Diego,San Diego County,CA,California,City,32.71533,-117.15726,2024-12-15 09:59:33,2024-12-15 09:59:33
A155,San Francisco,San Francisco County,CA,California,City,37.775,-122.41944,2024-12-15 09:59:33,2024-12-15 09:59:33
A156,San Jose,Santa Clara County,CA,California,City,37.33939,-121.89496,2024-12-15 09:59:33,2024-12-15 09:59:33
A157,San Mateo,San Mateo County,CA,California,City,37.56299,-122.32553,2024-12-15 09:59:33,2024-12-15 09:59:33
A158,Santa Ana,Orange County,CA,California,City,33.74557,-117.86783,2024-12-15 09:59:33,2024-12-15 09:59:33
A159,Santa Clara,Santa Clara County,CA,California,City,37.35411,-121.95524,2024-12-15 09:59:33,2024-12-15 09:59:33
A160,Santa Clarita,Los Angeles County,CA,California,City,34.39166,-118.54259,2024-12-15 09:59:33,2024-12-15 09:59:33
A161,Santa Maria,Santa Barbara County,CA,California,City,34.95303,-120.43572,2024-12-15 09:59:33,2024-12-15 09:59:33
A162,Santa Rosa,Sonoma County,CA,California,City,38.44047,-122.71443,2024-12-15 09:59:33,2024-12-15 09:59:33
A163,Simi Valley,Ventura County,CA,California,City,34.26945,-118.78148,2024-12-15 09:59:33,2024-12-15 09:59:33
A164,Stockton,San Joaquin County,CA,California,City,37.9577,-121.29078,2024-12-15 09:59:33,2024-12-15 09:59:33
A165,Sunnyvale,Santa Clara County,CA,California,City,37.36883,-122.03635,2024-12-15 09:59:33,2024-12-15 09:59:33
A166,Temecula,Riverside County,CA,California,City,33.49364,-117.14836,2024-12-15 09:59:33,2024-12-15 09:59:33
A167,Thousand Oaks,Ventura County,CA,California,City,34.17056,-118.8375,2024-12-15 09:59:33,2024-12-15 09:59:33
A168,Torrance,Los Angeles County,CA,California,City,33.83585,-118.34063,2024-12-15 09:59:33,2024-12-15 09:59:33
A169,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,2024-12-15 09:59:33,2024-12-15 09:59:33
A170,Victorville,San Bernardino County,CA,California,City,34.53611,-117.29116,2024-12-15 09:59:33,2024-12-15 09:59:33
A171,Visalia,Tulare County,CA,California,City,36.33023,-119.29206,2024-12-15 09:59:33,2024-12-15 09:59:33
A172,Vista,San Diego County,CA,California,City,33.20004,-117.24254,2024-12-15 09:59:33,2024-12-15 09:59:33
A173,West Covina,Los Angeles County,CA,California,City,34.06862,-117.93895,2024-12-15 09:59:33,2024-12-15 09:59:33
